INT_ID,Domain,Interface_Name,Source_System,Target_System,Pattern,Direction,Trigger_or_Event,Frequency_or_Timing,Primary_Data_Objects,Source_of_Truth,Failure_and_Reconciliation,Security_or_Compliance,Dependency_Refs,WBS_Link,Status,Priority,Notes,Vendor_Option,Vendor_Decision_Status,Vendor_Notes
INT-001,ERP Core,Customer and Contact Master Sync,CRM <-> Acumatica,Acumatica <-> CRM,API sync,Bidirectional with approval boundaries,Create/update customer or contact in approved domain,Near-real-time or queued event,"Customer, Contact, Location, ownership, affinity, sync status",CRM for operational contact data; Acumatica for financial master attributes,"Queue failures, sync status badge, retry, daily exception review, pre-go-live sample reconciliation","Role-based access, audit history, API credential isolation",DEP-003; DEP-004; DEP-017; DEP-034; DEP-035,Acumatica Integration & Data Migration > Master Sync > Synchronize account and contact data,In Scope,P0,"Depends on signed field mappings, customer-creation decision, and sandbox certification before sync implementation scales.",Acumatica REST / OData APIs,Confirmed by scope,Current roadmap position based on validated scope and available meeting evidence.
INT-002,ERP Catalog,Product Master Sync,Acumatica,CRM / Dealer Portal,API sync + staged cache,Inbound to CRM,Product publish or scheduled refresh,Scheduled daily with on-demand refresh option,"Stock items, descriptions, variants, categories, sellable flags",Acumatica,"Compare item counts, changed SKUs, and category mismatches against extract totals",Read-only service account,DEP-005; DEP-017; DEP-034,Acumatica Integration & Data Migration > Product & Pricing Sync > Keep sellable data current,In Scope,P0,Product identity and field mapping must be validated before enrichment and dealer publish workflows rely on this feed.,Acumatica REST / OData APIs,Confirmed by scope,Current roadmap position based on validated scope and available meeting evidence.
INT-003,ERP Pricing,Price Class and Customer Pricing Sync,Acumatica,CRM / Dealer Portal,API sync + batch publish,Inbound to CRM; outbound publish to portal cache,Approved pricing update or scheduled price publish,Nightly standard run plus on-demand publish,"Price classes, customer price assignments, pending vs source price, currency",Acumatica,"Compare price worksheet counts, hash of published catalog, sample dealer account checks",Pricing admin only for override approvals,DEP-006; DEP-017; DEP-034,Pricing & ERP-Dependent Commercial Rules > Dealer Publish > Push pricing to the portal,In Scope,P0,"Requires pricing field mappings, representative account validation, and publish rollback readiness before dealer-facing pricing is trusted.",Acumatica pricing APIs or approved ERP extracts,Confirmed by scope,Current roadmap position based on validated scope and available meeting evidence.
INT-004,Dealer Ordering,Dealer Order Submission,Dealer Portal / CRM,Acumatica SalesOrder,API command,Outbound from CRM,Dealer or internal order submission,Synchronous submit with queued fallback,"Sales order, PO number, ship-to, line items, notes, account context",Acumatica after successful order creation,"Order receipt confirmation, retry queue, duplicate-order guard by idempotency key",Authenticated account context and audit trail,DEP-005; DEP-006; DEP-019; DEP-033,Dealer Portal Replacement for Shopify > Dealer Ordering > Support complete ordering workflows,In Scope,P0,"Portal order submission should only be enabled after catalog, pricing, and dealer-group go-live controls pass representative-account validation.",Acumatica Sales Order API,Confirmed by scope,Current roadmap position based on validated scope and available meeting evidence.
INT-005,Dealer Financial Visibility,"Order, Shipment, Invoice, Statement, and Payment Status Sync",Acumatica,CRM / Dealer Portal,API sync,Inbound to CRM,Transaction change in ERP,Hourly or event-driven where possible,"Orders, shipments, invoices, statements, payment status",Acumatica,"Count and amount reconciliation by day, aging sample checks, exception queue for orphaned transactions",Dealer account authorization and masking of restricted data,DEP-004; DEP-017; DEP-034; DEP-028,Acumatica Integration & Data Migration > Transaction Sync > Expose order and finance history,In Scope,P0,Financial visibility must be reconciled during pilot and cutover rehearsal before broad rollout.,Acumatica transaction APIs / read extracts,Confirmed by scope,Current roadmap position based on validated scope and available meeting evidence.
INT-006,Credit and Collections,Credit Hold and Financial Status Sync,Acumatica,CRM / Dealer Portal / Notification Engine,API sync,Inbound to CRM,Credit status or aging change,Hourly with alert evaluation on refresh,"Credit hold, terms, available credit, days past due, statement cycle",Acumatica,Daily credit-hold exception review and sample account balance check,Restricted access to financial fields,DEP-019; DEP-020,Dealer Portal Replacement for Shopify > Dealer Credit & Collections > Reflect financial constraints,In Scope,P0,Shared visibility must remain consistent across internal and dealer views.,Acumatica AR / customer status APIs,Confirmed by scope,Current roadmap position based on validated scope and available meeting evidence.
INT-007,Consignment Operations,"Warehouse, Transfer Order, and Inventory Balance Sync",CRM <-> Acumatica,Acumatica <-> CRM,API sync + command,Bidirectional,"Consignment site setup, transfer order request, audit baseline refresh",On-demand plus scheduled audit refresh,"Warehouse, transfer order, purchase receipt, inventory balance, site value",Acumatica for inventory and warehouse records; CRM for audit workflow status,"Warehouse ID reconciliation, variance review, transfer order confirmation, audit sample checks",Audit history and restricted warehouse admin rights,DEP-011; DEP-012; DEP-017; DEP-038,Consignment Management > Audit Cycle > Enforce the 90-day operating rhythm,Parked Until Acumatica Access,P0,"Pulse can build site/readiness records, audit workflow, manual variance queues, documents, calendar visibility, and dashboards now. ERP command/sync execution is parked because warehouse creation, inventory truth, transfer/receipt posting, PO creation, and financial settlement require sandbox credentials, certified endpoints, sample records, signed mappings, source-of-truth approval, and recovery/DLQ rules.","Acumatica inventory, warehouse, transfer-order, receipt, and PO APIs",Blocked by Acumatica access,Resume from the copied consignment PRD and April 30 requirements map once sandbox access and certification evidence are available.
INT-008,Lead Capture,Branded Website Lead Form Submission,Brand Websites (10-16),CRM,Embedded widget + webhook/API,Inbound to CRM,Form submission,Real-time,"Lead, source tag, brand, campaign, homeowner/contractor flag",CRM,"Submission logs, dead-letter queue, daily form count audit by brand","Bot protection, validation, consent capture",DEP-018,Lead Capture & Lead Management > Lead Capture Replacement > Publish embeddable branded lead forms,In Scope,P0,Replaces HubSpot for net-new intake; HubSpot history remains a migration stream.,Embedded CRM web forms / webhook endpoints; Cloudflare Turnstile or Google reCAPTCHA for bot protection,Assumed design option,Current roadmap position based on validated scope and available meeting evidence.
INT-009,Calendar,Outlook Calendar Sync,CRM,Microsoft 365 / Outlook,Graph API sync,Bidirectional with CRM-owned scheduling workflow,Create/update training or discovery event from CRM,Near-real-time,"Calendar event, attendee, conflict window, status",CRM for scheduling workflow; Outlook for personal calendar occupancy,"Sync status flag, user retry, meeting conflict comparison, failed-event queue","OAuth consent, least-privilege Graph scopes",DEP-018; DEP-021,Training Management > Calendar Sync > Keep CRM and Outlook aligned,In Scope,P1,"Research direction is CRM-originated scheduling that pushes to Outlook, not the reverse.",Microsoft Graph Calendar API,Confirmed by scope,Current roadmap position based on validated scope and available meeting evidence.
INT-010,Communication,Outlook Email Context Sync,Microsoft 365 / Outlook,CRM,Graph API sync,Inbound to CRM with optional outbound send,"Tracked message, conversation match, or template send",Near-real-time or frequent polling,"Email headers, body metadata, participants, thread linkage",Outlook for message transport; CRM for customer context and activity linkage,"Thread matching queue, missing-contact exception review, sample mailbox checks","OAuth consent, mailbox access policy, restricted content retention",DEP-018; DEP-021,"Communication, Notifications & Alerts > Outlook Integration > Stop double handling email",In Scope,P1,Supports unified inbox and timeline linking rather than replacing Outlook.,Microsoft Graph Mail API,Confirmed by scope,Current roadmap position based on validated scope and available meeting evidence.
