,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,InventoryID,Description,ItemStatus,ItemClass,Type,ValuationMethod,PlanningMethod,PostingClass,TaxCategory,DefaultWarehouse,DefaultReceivingLocation,DefaultIssueLocation,BaseUnit,SalesUnit,PurchaseUnit,MfgDfltMarkFor,MakeToOrder,DefaultVendorIDUS,DefaultVendorIDCA,InvPlanningSource,EDGQBID,EDLQBID,EDGOldName,EDLOldName,PiecesOfMedia,PriceGroup,ItemHeight,ItemWidth,ItemIsMetric,VendorItemID,CycleID,SalesAccount,SalesSubAccount,SafetyStock,ReorderPoint,MinOrderQty,MaxOrderQty,LeadTime,ItemHeightText,ItemWidthText
,BX-0008                       ,20X50X3 PANEL BOX,AC,CARDB     ,M,Average,Inventory Replenishment,STCKRM,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,8000093B-1626930573,NULL,20x25 - 2&quot; PRINTED PIZZA STYLE,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40100,0,0,0,0,0,0,NULL,NULL
,CP-40-PG-OUT-120              ,"40 VA PRESSURE GAUGE, OUTDOOR",AC,CNTRL     ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,80001783-1643649026,800042CF-1620996176,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40200,0,0,0,0,0,0,NULL,NULL
,V8-ALUMINUM POST MATERIAL 3X1 ,"CYCLE 25   ALUMINUM RECTANGULAR TUBE 3""X 1""X.125W",AC,RWMAT     ,M,Average,Inventory Replenishment,STCKRM,TAXABLE,NULL,NULL,NULL,FT,FT,FT,Purchase,FALSE,NULL,NULL,Purchase,NULL,80004212-1617220212,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40200,0,0,0,0,0,0,NULL,NULL
,V8-TIGHT-HOLD DRAW LATCH      ,"CYCLE 21  TIGHT-HOLD LATCH WITH SAFTY CATCH 2 3/4"" X 1 1/8""",AC,RWMAT     ,M,Average,Inventory Replenishment,STCKRM,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,NULL,1794A55,NULL,NULL,0,NULL,2.75,1.125,FALSE,NULL,101,40200,0,0,0,0,0,0,NULL,NULL
,C1P191/2181/2                 ,"19 1/2 X 18 1/2 CARBON MEDIA, 1-PAD",AC,1INM      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,80000AC1-1626931965,80001CA3-1286912583,NULL,NULL,1,Custom,18.5,19.5,FALSE,NULL,101,40200,0,0,0,0,0,0,18 1/2,19 1/2
,C1P383/4181/2                 ,"38 3/4 X 18 1/2 CARBON MEDIA, 1-PAD",AC,1INM      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,80000C4F-1626932321,8000199C-1251203716,NULL,NULL,1,Custom,18.5,38.75,FALSE,NULL,101,40200,0,0,0,0,0,0,18 1/2,38 3/4
,C1P4814                       ,"48 X 14 CARBON MEDIA, 1-PAD",AC,1INM      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,80000C87-1626932371,800017CD-1232549333,NULL,NULL,1,Custom,14,48,FALSE,NULL,101,40200,0,0,0,0,0,0,14,48
,C4LP131/220X                  ,"13 1/2 X 20 LPD MEDIA, 4-PACK EXACT",AC,1INM      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,NULL,80002C15-1429125211,NULL,NULL,4,Custom,20,13.5,FALSE,NULL,101,40100,0,0,0,0,0,0,20,13 1/2
,P6100 - 1623X                 ,"PREMIERONE 16 X 23 POLARIZED MEDIA PANEL, W/ 3-PK MEDIA EXACT",AC,P1P       ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,NULL,80004549-1633435831,NULL,NULL,4,NULL,23,16,FALSE,NULL,101,40100,0,0,0,0,0,0,23,16
,US-V8-18 DRAWER ASEMBLY       ,V8-18 DRAWER ASSEMBLY,AC,V8PRTS    ,A,Average,Inventory Replenishment,STCKRM,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,800013C9-1626934137,800031DE-1475589981,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40200,0,0,0,0,0,0,NULL,NULL
