MIG_ID,Wave,Domain,Source_System,Source_Asset_or_Extract,Target_Object,Decision,Load_Strategy,Transform_and_Cleansing,Match_and_Dedupe_Rule,Validation_and_Recon,Archive_or_Retain,Cutover_Timing,WBS_Link,Priority,Notes
MIG-001,Wave 0,Reference Data,Acumatica / research assets,Meetings/asiscustomerdocuments/ACM Affinity Groups.xlsx,Affinity Groups,Migrate,One-time seed then stewarded CRUD,"Normalize labels, merge duplicates, mark inactive groups",Group code/name exact match with steward review for conflicts,Seed count matches approved master list,Retain source workbook in project archive,Pre-build foundation,"Master Data, Admin Settings & Configuration > Govern operational master data > Seed affinity groups and ownership groups from legacy reference exports",P0,"Operationally critical for leads, customers, branding, and reporting. | Current WBS: Release 1 / Sprint 03"
MIG-002,Wave 0,Reference Data,Acumatica / research assets,Meetings/asiscustomerdocuments/ACM Ownership Groups.xlsx,Ownership Groups / PE Groups,Migrate,One-time seed then stewarded CRUD,Standardize PE names and inactive values,Ownership code/name exact match with manual conflict resolution,Seed count and steward sign-off,Retain source workbook in archive,Pre-build foundation,"Master Data, Admin Settings & Configuration > Govern operational master data > Seed affinity groups and ownership groups from legacy reference exports",P0,Needed for account segmentation and reporting. | Current WBS: Release 1 / Sprint 03
MIG-003,Wave 0,Reference Data,Research assets / Acumatica,ACM Customer Classes.png; price class exports; Training Catagories.pdf,"Customer Classes, Price Tiers, Training Categories, Lead Sources",Migrate,Controlled admin seed loads,Map codes to controlled values and descriptions,Code-based match only,Admin screens reflect approved configuration lists,Retain source artifacts,Pre-build foundation,"Master Data, Admin Settings & Configuration > Govern operational master data > Import lead sources, customer classes, training categories, and capture settings",P1,Creates clean admin-owned reference data before workflow build. | Current WBS: Release 1 / Sprint 03
MIG-004,Wave 0,Workflow Configuration,Research assets,Lead_Customer_Master_Datasheet.xlsx; Lead Statuses.csv; Lead Onboarding Form.csv,"Lead stage model, lead field rules, routing fields",Migrate,Configuration import and validation,"Consolidate final stage names, required field rules, routing values",Config key based,Lead form and pipeline match approved configuration,Retain source config docs,Pre-build foundation,"Master Data, Admin Settings & Configuration > Govern operational master data > Import lead sources, customer classes, training categories, and capture settings; Lead Capture & Lead Management > Run the full lead lifecycle > Configure the seven confirmed lead stages",P0,This is a configuration baseline rather than transactional data. | Current WBS: Release 1 / Sprint 03-Sprint 06
MIG-005,Wave 1,Customer Bootstrap,Acumatica,Customer entity export; Customers.pdf; DAC and screenshots,Customer Accounts,Bootstrap via sync,Initial bootstrap then ongoing sync,"Normalize statuses, classes, legacy IDs, financial flags",Customer ID as primary; legacy ID and account name as secondary,"Customer count, sample field comparison, sync status audit, and customer-creation trigger validation against approved lifecycle rules",ERP remains system of record for financial fields,Pre-UAT bootstrap; refresh before go-live,"Acumatica Integration & Data Migration > Synchronize account and contact data > Bootstrap customers and contacts from Acumatica, then run governed ongoing sync",P0,Financial fields must not be overwritten by CRM during bootstrap. | Current WBS: Release 2 / Sprint 08
MIG-006,Wave 1,Location Bootstrap,Acumatica / sample location assets,ACM Sample Customers Locations.xlsx; Locations.pdf; customer locations export,Customer Locations and Shipping Addresses,Bootstrap via sync,Initial load then ongoing sync,"Normalize address format, price class assignment, location types",Customer ID + location code/address match,Sample multi-location accounts validated with business owners,ERP remains source for shipping master data where owned,Pre-UAT bootstrap,"Customer, Account, Contact & Multi-Location Management > Build parent-child location hierarchy and shared account rollups > Bootstrap multi-location hierarchy from Acumatica shipping-address extracts",P0,Supports accounts with many operating sites and dealer address books. | Current WBS: Release 2 / Sprint 07
MIG-007,Wave 1,Contact Bootstrap,Acumatica / Dynamics CRM,Acumatica contacts export; Dynamics contact extract,Customer Contacts,Migrate + bootstrap,Merge contacts into canonical contact model,"Normalize phone/email, assign contact roles, mark billing vs operational contacts",Email + phone + account match with survivorship rules,Duplicate report reviewed and key accounts manually checked,Archive rejected duplicates,Pre-UAT bootstrap,"Customer, Account, Contact & Multi-Location Management > Implement contact hierarchy and role ordering > Merge bootstrapped contacts into the governed three-contact-role model",P0,Operational contact quality will require human stewardship during cleanse. | Current WBS: Release 2 / Sprint 07
MIG-008,Wave 1,Lead History,Dynamics CRM and spreadsheets,Dynamics lead extract; manual lead sheets; lead master datasheet,Historical Leads and Funnel History,Migrate selectively,Bulk import with dedupe and status normalization,"Repair obvious phone/email formatting, map old stages to new seven-stage model",Company + primary email/phone + legacy ID,Lead counts by source and stage compared to export totals,Archive unrecoverable records with reason code,Pre-UAT history load; freeze delta near cutover,"Acumatica Integration & Data Migration > Preserve operational history > Migrate lead, account, contact, activity, and lead-source attribution data from Dynamics CRM and related spreadsheets",P0,Historical stage fidelity may be imperfect; preserve lineage notes. | Current WBS: Release 3 / Sprint 18
MIG-009,Wave 1,Lead Source History,HubSpot,HubSpot form and lead export,Lead Source and Campaign Attribution History,Migrate selectively,Bulk import of historical attribution fields,"Normalize source names, map branded site identifiers, remove duplicate conversions","HubSpot lead ID when present, else email + company + date window",Counts by site/source/campaign reviewed against export totals,Archive raw HubSpot export,Pre-go-live migration wave,"Acumatica Integration & Data Migration > Preserve operational history > Migrate lead, account, contact, activity, and lead-source attribution data from Dynamics CRM and related spreadsheets",P1,"Net-new capture moves to CRM forms, so this is history preservation not ongoing sync. | Current WBS: Release 3 / Sprint 18"
MIG-010,Wave 1,Product Catalog,Acumatica + Shopify enrichments,Acumatica Stock Items exports; Shopify US Products.csv; Shopify Canada Products.csv,"Product Catalog, merchandising metadata, brand/category tags",Bootstrap via sync + enrichment,Bootstrap product master from ERP and enrich portal-facing attributes from curated mapping,"Resolve SKU aliases, category tags, product imagery references, Canada/US overlap",Inventory ID / SKU exact match,"SKU counts, category counts, sample product details and variant checks",Keep raw enrichment files for audit,Pre-UAT bootstrap with refresh before go-live,Dealer Portal Replacement for Shopify > Deliver a B2B product browsing experience > Bootstrap the full catalog with real SKU and variant structure,P0,"Shopify data is used for dealer experience enrichment, not as authoritative product master. | Current WBS: Release 2 / Sprint 11"
MIG-011,Wave 1,Pricing,Acumatica + pricing workbooks,A1a Generic Pricing 2025.xlsx; Sales Price Worksheet extracts; AZR price lists,"Price tiers, price sheets, dealer pricing cache",Bootstrap via sync + controlled import,Use ERP-owned price class sync and import curated price-sheet templates,"Map price class codes, normalize product references, separate publishable vs internal fields",Price class + inventory ID,Sample account price checks and worksheet count comparison,Archive superseded lists,Pre-go-live pricing rehearsal,"Dealer Portal Replacement for Shopify > Apply customer-specific commercial rules > Resolve bootstrapped price class, customer class, and discount tier at login and checkout",P1,Supports price sheets and dealer pricing without moving rebate logic into CRM. | Current WBS: Release 2 / Sprint 12
MIG-012,Wave 1,Dealer Accounts,Shopify US / Shopify CA,Customer/user exports and account mappings,"Dealer Accounts, Users, Preferences, Favorites",Migrate selectively,Map Shopify contacts into customer-account based portal access model,"Collapse duplicate contacts, align to customer ID, split active vs inactive users",Customer ID where available; else billing email + company + ERP account match,Account-access test for pilot dealers and user count comparison,Archive superseded Shopify account exports,Cutover-prep wave,"Dealer Portal Replacement for Shopify > Provision dealer company access from onboarding > Bootstrap dealer company admin, users, and enrollment workflow from approved onboarding and Shopify exports",P1,This is a structural migration because Shopify is contact-centric and the new portal is account-centric. | Current WBS: Release 2 / Sprint 12
