Module,Epic,Story,Task,Sub-Task,Component,Dependencies,Story_Points,Sprint,Phase,Priority,Acceptance_Criteria,Notes,Meeting_Traceability
Program Foundation & Solution Architecture,Program Governance,Launch the target-state delivery program,Establish charter and success metrics,"Confirm approval criteria, budget guardrails, and savings case",Program Office,None,8,Sprint 01,Phase 1 - Foundation & Integration Readiness,P0,Stakeholders approve measurable outcomes and governance,"Built from discovery priorities around adoption, reporting, and platform consolidation. | Legacy Sprint Bucket: Seq 01",
Program Foundation & Solution Architecture,Program Governance,Launch the target-state delivery program,Define governance cadence and decision rights,"Publish RACI, RAID, escalation, and change control",Program Office,Charter and success metrics,5,Sprint 01,Phase 1 - Foundation & Integration Readiness,P0,Roles and decision paths are agreed,Legacy Sprint Bucket: Seq 01,
Program Foundation & Solution Architecture,Solution Architecture,Define system boundaries,"Set CRM, dealer portal, mobile, and Acumatica source-of-truth rules","Document operational versus financial ownership, customer-creation trigger, dealer visibility boundary, pricing authority, and reporting truth per domain",Solution Architecture,Charter and success metrics,8,Sprint 01,Phase 1 - Foundation & Integration Readiness,P0,"Boundary matrix and customer-creation decision are signed off for lead, customer, pricing, order, invoice, payment, warehouse, and reporting data",Must lock first-order-versus-CIS customer creation and downstream reporting/integration effects before schema and sync build. | Legacy Sprint Bucket: Seq 01,Session 2; Session 4; Session 7 (Mar 2); Session 12 (Mar 24)
Program Foundation & Solution Architecture,Solution Architecture,Define canonical data model,"Model lead, account, contact, location, training, consignment, activity, and reporting entities","Publish canonical model, lifecycle relationships, and physical-schema handoff requirements for audit, masking, and indexing",Data Architecture,Source-of-truth rules,13,Sprint 01,Phase 1 - Foundation & Integration Readiness,P0,"Core entities, lifecycle states, and required audit, masking, and index requirements are approved","Feeds physical schema/ORM lock, migration design, and reporting grain decisions. | Legacy Sprint Bucket: Seq 01",Session 2; Session 4; Session 5; Session 12 (Mar 24)
Program Foundation & Solution Architecture,Solution Architecture,Lock customer lifecycle boundary,Lock customer-creation trigger and downstream lifecycle definitions,"Decide when a lead becomes a customer and align onboarding, portal eligibility, reporting, and sync behavior to that trigger",Solution Architecture,Source-of-truth rules,5,Sprint 01,Phase 1 - Foundation & Integration Readiness,P0,"Customer-creation trigger is approved and downstream workflow, integration, and reporting definitions are updated consistently",Makes the first-order-versus-CIS decision explicit instead of implicit. | Legacy Sprint Bucket: Seq 01,Session 2; Session 4
Program Foundation & Solution Architecture,Experience Principles,Build adoption-first experience,"Define web, mobile, and dealer UX standards","Standardize tables, forms, maps, dashboards, and offline patterns",UX System Design,Governance cadence,5,Sprint 01,Phase 1 - Foundation & Integration Readiness,P1,Common design patterns are published and reusable,Legacy Sprint Bucket: Seq 01,
Program Foundation & Solution Architecture,Experience Principles,Build reporting-first information architecture,"Define KPI taxonomy, navigation, and naming conventions","Align executive, TM, and dealer views",Product Design,Canonical data model,5,Sprint 01,Phase 1 - Foundation & Integration Readiness,P1,Shared KPI language is used across modules,Includes Dynamic Pulse naming and dashboard vocabulary. | Legacy Sprint Bucket: Seq 01,
"Security, Identity, Environments & DevOps",Environments & Delivery,Operate reliable delivery environments,"Provision dev, test, UAT, and production environments","Standardize secrets, pipelines, and release gates",Platform,Governance cadence,8,Sprint 01,Phase 1 - Foundation & Integration Readiness,P0,Environments support repeatable deployment promotion,Legacy Sprint Bucket: Seq 01,
"QA, UAT, Rollout & Adoption",Release & Stabilization,Seq 01 - Release Buffer,"UAT, bug fixes, deployment, stabilization",,Testing & Release,Seq 01 features complete,5,Sprint 01,Phase 1 - Foundation & Integration Readiness,P0,"All critical bugs fixed, UAT passed, production stable for 5 days",Post-release buffer (~15% of Seq 01) | Legacy Sprint Bucket: Seq 01-Buffer,
Program Foundation & Solution Architecture,Solution Architecture,Lock physical data baseline,"Generate and approve physical schema, audit model, masking, and indexing baseline","Turn the canonical model into implementation-ready ORM and database rules for required fields, relationships, indexes, audit, and masking",Data Architecture,Canonical data model and boundary decisions,8,Sprint 02,Phase 1 - Foundation & Integration Readiness,P0,"Physical schema and ORM baseline are approved with required fields, relationships, audit fields, masking, and index strategy","Needed before backend, migration, and validation work can scale safely. | Legacy Sprint Bucket: Seq 02",
