RAID_ID,Type,Title,Description,Impact,Probability,Owner,Trigger_or_Date,Response_or_Decision,Linked_Artifact,Status
RAID-001,Risk,ERP customer creation trigger remains unsettled (UPGRADED),"Discovery contains tension between CIS-triggered creation and first-order-triggered creation in Acumatica. Unresolved after 12 sessions; affects Customer entity creation, Acumatica sync, dealer activation, and reporting qualification rules.",Critical,High,Product Owner,Immediately,"Run the Release 0 architecture decision gate with Product, Finance, and Acumatica SME. Default planning position remains first-order trigger with CRM-only pre-order onboarding. Update onboarding, portal eligibility, reporting qualification, and INT-001 after sign-off.",FULL_RELEASE_PLAN.md / PROJECT_BREAKDOWN_DETAILED.csv / INT-001 / DEP-001 / DEP-003,Open
RAID-002,Risk,Acumatica API readiness may delay critical path,"Core customer, pricing, transaction, and consignment streams depend on sandbox access and endpoint readiness.",Critical,High,Integration Lead,Immediately,"Escalate sandbox and auth access early, certify representative endpoints, and prove queue/DLQ behavior before any sync wave scales beyond mock contracts.",PROJECT_BREAKDOWN_DETAILED.csv / INT-001 to INT-007 / DEP-003 / Release 0 gate,Open
RAID-003,Risk,Historical data quality is inconsistent across legacy systems,"Dynamics, HubSpot, Map My Customer, Dropbox, and QuickBooks contain duplicate, incomplete, or differently-structured records.",High,High,Migration Lead,During profiling and rehearsal loads,"Profile early, classify by confidence, and preserve archive-only decisions where history is too weak for trusted migration.",MIG-008 to MIG-018,Open
RAID-004,Risk,Consignment site counts conflict across source documents (UPGRADED),"Research materials reference different totals for active and total consignment locations. Affects Consignment entity master data, INT-007 sync contract, and audit baseline. Must reconcile before site enrollment workflow design.",Critical,High,Consignment SME + Acumatica SME,Week 1,"Reconcile against Warehouse Tracking Master: (1) Get current Acumatica warehouse list for consignment sites (C-{TYPE}-{CITY} naming), (2) Cross-check exited/new tabs for accuracy, (3) Validate site counts in research materials, (4) Publish authoritative Consignment Site Master with reconciliation memo. Lock before DEP-011 (consignment audit scheduler) begins.",MIG-014 / DEP-011 / INT-007 / ACUMATICA_INTEGRATION_PRD.md,Open
RAID-005,Risk,Dealer payment provider model is unresolved,"The business currently uses separate US and Canada processors, which affects portal payment scope and compliance design.",High,Medium,Finance + Product,Before dealer payment design completion,Select provider pattern or defer portal payments while preserving account visibility.,INT-012 / DEP-019 / DEP-023,Open
RAID-006,Risk,Outlook/Microsoft 365 approval may slip,"Calendar and email sync depend on OAuth approval, tenant policy, and security review.",Medium,Medium,Security Lead,Before Outlook build starts,Request application approval early and keep workflow usable with manual fallback during pilot.,INT-009 / INT-010 / DEP-018 / DEP-021,Open
RAID-007,Risk,Training portal may not expose usable integration capability,Certification integration is valuable but depends on external API or export support.,Medium,Medium,Training SME,Before certification integration build,Plan CSV/file import fallback and keep core training proof independent of live certification sync.,INT-011 / DEP-022,Open
RAID-008,Risk,Dealer company-wide visibility needs careful access rules,Moving from Shopify contact-level accounts to shared company visibility increases sensitivity around access control.,High,Medium,Security + Product,Before dealer pilot,"Pilot with representative accounts, confirm account-admin model, and document access delegation rules.",DEP-004 / DEP-026,Open
RAID-009,Risk,Mobile offline merge behavior may reduce adoption if not handled well,Field users need reliable offline workflows; weak conflict handling will recreate trust problems from current tools.,Medium,Medium,Mobile Lead,Before mobile UAT,Constrain editable offline scope first and make sync conflicts explicit and reviewable.,DEP-021,Open
RAID-010,Risk,Reporting can fail approval even if core workflows exist,Research repeatedly positions dynamic reporting as the top approval gate.,Critical,Medium,Reporting Lead,Before executive demo / UAT exit,Treat reporting semantic layer and five priority report families as protected P0 scope.,DEP-014 / DEP-015,Open
RAID-011,Assumption,Acumatica remains financial system of record,"Financial truth, invoice status, credit hold, and pricing source data remain ERP-owned.",High,High,Solution Architect,Baseline assumption,Design CRM around operational ownership and ERP-aligned sync boundaries.,INT-001 / INT-003 / INT-005 / INT-006,Approved
RAID-012,Assumption,Residential CRM scope leads the program,Commercial CRM is enabled architecturally but does not drive residential Phase 1 control decisions.,Medium,High,Program Sponsor,Baseline assumption,Keep commercial workstream separated and later-sequenced unless sponsor changes scope.,Commercial CRM Enablement,Approved
RAID-013,Assumption,"Widen stays boundary-scoped, not a full CRM DAM replacement",CRM should host in-scope sales and dealer assets but not absorb all enterprise DAM responsibility.,Medium,High,Marketing Lead,Content planning,Use curated import only and maintain boundary documentation.,INT-014 / MIG-017 / DEP-024,Approved
RAID-014,Assumption,Inventory validation remains non-blocking at order submission,Dealer orders should be accepted even when real-time inventory certainty is imperfect.,Medium,High,Dealer Portal Lead,Ordering design,Keep order acceptance non-blocking while surfacing shipment and backorder visibility from ERP.,INT-004,Approved
RAID-015,Issue,Field-level mapping has not yet been approved (UPGRADED),"The WBS and control package define entity-level scope, but field-by-field mappings are still pending. Discovered during audit: no Acumatica SKU ↔ CRM Product ↔ Widen asset linkage exists; Customer field mapping unknown; Contact lifecycle unmapped. Blocks database schema, form validation, and test data.",Critical,High,BA + Integration Lead + Acumatica SME,Week 1,"See RAID-029 for detailed closure. Priority order: (1) Customer entity (blocks DEP-003), (2) Products (blocks INT-002), (3) Pricing (blocks INT-003), (4) Consignment (blocks INT-007), (5) Contact (blocks DEP-004), (6) Orders (blocks INT-004), (7) Reporting (blocks KPI definitions). Create mapping workbooks with transformation rules, defaults, required vs optional. Target completion: Apr 1, 2026.",MIG-005 to MIG-016 / INT-001 to INT-007 / RAID-029,Open
RAID-016,Issue,Master-data stewardship roster is not assigned,"Reference data quality will drift without named owners for affinity groups, ownership groups, classes, and categories.",Medium,High,PM,Before admin configuration build completes,Assign business stewards and include them in sign-off gates.,MIG-001 to MIG-004 / DEP-002,Open
RAID-017,Issue,No approved cutover environment schedule exists,"Rehearsal dates, freeze windows, and environment promotion rules are not yet fixed.",High,Medium,PM,Before SIT/UAT transition,Adopt the cutover and validation plan with at least one full rehearsal.,DEP-028 / CUTOVER_VALIDATION_PLAN.md,Open
RAID-018,Decision,"WBS sequence is control ordering, not sprint commitment",The `Seq 01` to `Seq 06` values in the WBS represent dependency-aware build order rather than promised sprint dates.,Medium,High,PM,Baseline decision,Use the dependency register and stage gates for schedule control; build sprint plan separately.,PROJECT_BREAKDOWN_DETAILED.csv,Approved
RAID-019,Decision,Report builder and five priority report families are protected scope,Reporting is treated as approval-gate functionality rather than optional polish.,Critical,High,Program Sponsor,Baseline decision,"Do not trade away reporting semantic layer, report builder, scheduled reports, or priority templates without sponsor approval.",Reports & Analytics / Executive Dashboard,Approved
RAID-020,Decision,Rebates and complex settlement stay outside CRM,"CRM may surface outcomes and statuses, but rebate engine and refund settlement remain outside scope.",Medium,High,Solution Architect,Baseline decision,Keep ERP or external finance tools responsible for rebate computation and refund settlement.,Pricing & ERP-Dependent Commercial Rules > Boundary Decisions,Approved
RAID-021,Risk,Dealer group and price class can be conflated,"If dealer catalog group, brand visibility, and price class are not kept separate, the wrong catalog, wrong files, or wrong pricing can be shown to a dealer account.",High,High,Product + Dealer Portal Lead,Before dealer pilot and UAT,"Keep dealer-group resolution separate from price-class logic and test representative dealer accounts across affinity, ownership, and region variations.",Product Management & Dealer Catalog Governance / DEP-030 / DEP-033,Open
RAID-022,Risk,KPI definitions may diverge across dashboards and reports,"The meetings still leave room for different interpretations of active account, first-order-ready, overdue training, consignment current state, and dealer engagement metrics.",Critical,High,Reporting Lead,Before dashboard UAT and executive sign-off,Publish a metric definition register and require semantic-layer sign-off before final dashboard validation.,Reports & Analytics / DEP-014 / DEP-032,Open
RAID-023,Risk,Widen replacement scope can expand beyond the validated workflow (UPGRADED),"The meetings support replacing Dropbox hunts and covering the product/dealer asset workflow, but they do not support promising a full enterprise Widen replacement without another decision. Risk: scope creep into full DAM without explicit governance or new decision. No boundary enforcement mechanism exists.",High,High,Marketing Lead + Architect,Before Digital Assets production design is frozen,"Document Widen boundary in scope control: (1) IN scope: Pulse-owned product/dealer assets, branded file serving, dealer-group file filtering, asset versioning, in-scope workflows (product launches, dealer campaigns), (2) OUT of scope: Enterprise-wide Widen replacement, non-product DAM, brand compliance governance, rights management, multi-purpose reuse. Create Digital Assets Scope Control document with approval matrix. Add scope control question to all PRD/design reviews: 'Does this asset workflow exist in discovery 12 sessions?' If no = defer to Phase 2 decision.",WIDEN_RELATIONSHIP_FINDINGS.md / INT-024 / INT-014 / DEP-031 / DIGITAL_ASSETS_SCOPE_CONTROL.md,Open
