DEP_ID,Category,Successor_Deliverable,Predecessor_Deliverable,Dependency_Type,External_Dependency,Critical_Path,Criticality,Owner,Why_It_Matters,Failure_Impact,Mitigation_or_Fallback,Exit_Criteria,WBS_Link
DEP-001,Architecture,Canonical data model approved,Source-of-truth boundary rules agreed,Finish-to-start,No,Yes,Critical,Solution Architect,The data model cannot be finalized until CRM vs ERP ownership is agreed.,"Rework across customer, lead, dealer, and reporting domains.",Run boundary workshop early and lock a decision log.,Approved source-of-truth matrix signed by business and architecture.,Program Foundation & Solution Architecture > Solution Architecture > Define system boundaries
DEP-002,Master Data,"Lead, customer, and dealer forms use governed dropdowns",Reference data seeded and CRUD-enabled,Finish-to-start,No,Yes,High,BA + Data Steward,"Operational workflows depend on affinity groups, ownership groups, classes, and categories.",Mock or invalid values leak into production records and reports.,"Seed minimum viable lists first, then iterate with steward review.",Approved reference data loads available in admin UI.,"Master Data, Admin Settings & Configuration > Admin Experience > Build CRUD workflows with validation and audit history"
DEP-003,Integration,Customer/contact sync build,Integration blueprint plus signed field mappings approved,Finish-to-start,No,Yes,Critical,Integration Lead,The integration layer needs agreed contracts before implementation.,"Conflicting assumptions about direction, ownership, and failure handling.","Complete interface contracts, field mappings, and environment certification before coding sync workflows.","Interface contract, field mapping, and sandbox certification approved for customer/contact domain.",Acumatica Integration & Data Migration > Integration Blueprint > Define the integration contract
DEP-004,Data and Identity,Dealer shared company-account visibility,Customer bootstrap and account-level dealer identity model,Finish-to-start,No,Yes,Critical,Product + Integration Lead,Dealer access cannot be provisioned correctly without trusted customer/account bootstrap.,Portal users are mis-assigned or lack company-wide visibility.,Pilot a small dealer cohort before broad migration.,Dealer identities resolve to customer accounts with verified access rules.,Dealer Portal Replacement for Shopify > Dealer Identity > Replace Shopify account model
DEP-005,Catalog,Dealer catalog and ordering live,Product master sync and catalog enrichment available,Finish-to-start,No,Yes,Critical,Dealer Portal Lead,"Portal browsing and ordering require accurate SKU, variant, and merchandising data.","Broken catalog, wrong items, or incomplete product visibility.",Launch with validated subset only if full catalog quality slips.,Catalog bootstrap and sample account validation complete.,Dealer Portal Replacement for Shopify > Dealer Catalog > Load the full catalog with real SKU and variant structure
DEP-006,Pricing,Dealer pricing at login and checkout,Price tier governance and ERP pricing sync approved,Finish-to-start,No,Yes,Critical,Pricing Lead,Account-specific pricing cannot be shown without governed price classes and publish logic.,Dealers see incorrect prices or manual overrides become necessary.,Use read-only price verification scripts during pilot.,Price class mapping and publish validation approved.,Dealer Portal Replacement for Shopify > Dealer Pricing > Apply customer-specific commercial rules
DEP-007,Territory,State-based lead routing and mobile routes,Minimal territory ownership matrix and geo data available,Finish-to-start,No,No,High,Product + GIS Lead,Routing logic depends on approved territory ownership and geocoded accounts.,Wrong lead assignments and low field trust.,Fallback to manual assignment queues until territory mapping is validated.,State ownership matrix and territory routing rules accepted by sales leadership.,Territory Management & Field Routing > Territory Foundation > Establish minimal ownership kernel
DEP-008,Platform,"Lead, credit, training, and consignment alerts",Shared notification engine available,Finish-to-start,No,No,High,Platform Lead,Domain alerts should not be implemented as one-off workflows.,"Inconsistent delivery, duplicate logic, and weak auditability.",Implement alert-engine MVP in the core wave before domain-specific alert rules or mobile consumers go live.,"Notification engine supports rule, recipient, status, and acknowledgment tracking.","Communication, Notifications & Alerts > Alert Engine > Create one notification framework"
DEP-009,Documents,CIS filing and consignment form workflows,Document repository and metadata model ready,Finish-to-start,No,No,Medium,Document Lead,Operational forms need a structured repository to replace Dropbox.,Users keep relying on folders and email attachments.,Launch with minimal repository taxonomy for core forms first.,Repository supports customer/site/document-type linkage.,Digital Assets & Document Handling > Document Workflows > Attach operational forms to the right records
DEP-010,Workflow,Customer activation after CIS,Onboarding checklist and credit routing defined,Finish-to-start,No,Yes,High,Product Owner,Customer activation must follow a consistent post-CIS control process.,"Accounts activate without credit, training, or portal readiness.",Gate customer activation through manual checklist until automation is ready.,Checklist and credit gates approved in workflow sign-off.,"CIS, Credit & Onboarding Workflow > Onboarding Control > Standardize post-CIS activation"
