Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Status
modern-purair-rm-3-uvc-uvc-uvv-dual-germicidal-oxidation-system,Modern PURAIR Sterile Sweep® Remote Mount - RM3 UVC/UVV Triple Germicidal/Oxidation System,"<p>- Remote Mount UVC lamp unit with 12"" and 16"" sizes available<br>- Two year warranty against lamp defects<br>- Lifetime warranty on all electric components<br>- Auto sensing ballast automatically compensates 120-277VAC 50/60Hz<br>- Suitable for up to a 10-ton AHU<br></p>
<p>For more information, see our <span></span><a href=""https://dynamiconlineorders.ca/pages/ultraviolet-frequently-asked-questions"">UV Frequently Asked Questions</a> <span></span>page <span data-mce-fragment=""1"">or view/download the </span><span data-mce-fragment=""1""></span><a href=""https://cdn.shopify.com/s/files/1/0883/2679/9661/files/UV-RM_Spec_Sheet_DYN_802.pdf?v=1722455625"">Spec Sheet</a>.</p>
<ul></ul>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Air Purifiers,Remote Mount UV,MPA,true,Size,"12""",,,,,,,,RM3-12/12/5,0.0,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0883/2679/9661/files/RM3-16-16-5.png?v=1722435712,1,,false,,,,lb,,active
modern-purair-rm-3-uvc-uvc-uvv-dual-germicidal-oxidation-system,,,,,,,,,"16""",,,,,,,,RM3-16/16/5,0.0,,0,deny,manual,true,true,,,,,,,,,,,,,lb,,
modern-purair-rm-2-uvc-uvc-germicidal-system-remote-mount,Modern PURAIR Sterile Sweep® Remote Mount - RM2 Dual UVC Germicidal Unit,"<p>- Remote Mount UVC lamp unit with 12"" and 16"" sizes available<br>- Two-year warranty against lamp defects<br>- Lifetime warranty on all electric components<br>- Auto sensing ballast automatically compensates 120-277VAC 50/60Hz<br>- Suitable for up to a 10-ton AHU</p>
<p>For more information, see our <span></span><a href=""https://dynamiconlineorders.ca/pages/ultraviolet-frequently-asked-questions"">UV Frequently Asked Questions</a> <span></span>page <span data-mce-fragment=""1"">or view/download the</span><span data-mce-fragment=""1""></span> <a href=""https://cdn.shopify.com/s/files/1/0883/2679/9661/files/UV-RM_Spec_Sheet_DYN_802.pdf?v=1722455625"">Spec Sheet</a><a aria-describedby=""a11y-external-message"" href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ASV-801_FM_Models_Spec_Sheet_0321.pdf?v=1617747960"" data-mce-fragment=""1"" data-mce-href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ASV-801_FM_Models_Spec_Sheet_0321.pdf?v=1617747960"">.</a></p>
<ul></ul>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Air Purifiers,Remote Mount UV,MPA,true,Size,"12""",,,,,,,,RM2-12/12,0.0,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0883/2679/9661/files/RM2-16-16.png?v=1722435584,1,,false,,,,lb,,active
modern-purair-rm-2-uvc-uvc-germicidal-system-remote-mount,,,,,,,,,"16""",,,,,,,,RM2-16/16,0.0,,0,deny,manual,true,true,,,,,,,,,,,,,lb,,
modern-purair-rm-2-dual-uvc-uvv-germicidal-oxidation-system-remote-mount,Modern PURAIR Sterile Sweep® Remote Mount - RM2 Dual UVC/UVV Germicidal,"<p>- Remote Mount UVC lamp unit with 12"" and 16"" sizes available<br>- Two year warranty against lamp defects<br>- Lifetime warranty on all electric components<br>- Auto sensing ballast automatically compensates 120-277VAC 50/60Hz<br>- Suitable for up to a 10-ton AHU<br></p>
<p>For more information, see our <a href=""https://dynamiconlineorders.ca/pages/ultraviolet-frequently-asked-questions""><span>UV </span>Frequently Asked Questions</a> <span></span>page <span data-mce-fragment=""1"">or view/download the </span><span data-mce-fragment=""1""></span><a href=""https://cdn.shopify.com/s/files/1/0883/2679/9661/files/UV-RM_Spec_Sheet_DYN_802.pdf?v=1722455625"">Spec Sheet</a><a aria-describedby=""a11y-external-message"" href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ASV-801_FM_Models_Spec_Sheet_0321.pdf?v=1617747960"" data-mce-fragment=""1"" data-mce-href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ASV-801_FM_Models_Spec_Sheet_0321.pdf?v=1617747960"">.</a></p>
<ul></ul>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Air Purifiers,Remote Mount UV,MPA,true,Size,"12""",,,,,,,,RM2-12/5,0.0,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0883/2679/9661/files/RM2-16-5.png?v=1722435639,1,,false,,,,lb,,active
modern-purair-rm-2-dual-uvc-uvv-germicidal-oxidation-system-remote-mount,,,,,,,,,"16""",,,,,,,,RM2-16/5,0.0,,0,deny,manual,true,true,,,,,,,,,,,,,lb,,
modern-purair-rm-1-oxidation-system,"Modern PURAIR Sterile Sweep® RM1-5WB, One 5” UVV Oxidation Lamp Unit","<p><span>120/240 volt remote 5"" UVV oxidation unit with ballast (RM1-5WB).</span></p>
<p>For more information, see our <a href=""https://dynamiconlineorders.ca/pages/ultraviolet-frequently-asked-questions"">Ultraviolet Frequently Asked Questions</a> page.</p>",Dynamic AQS,Uncategorized,Remote Mount UV,MPA,true,Title,Default Title,,,,,,,,RM1-5WB,0.0,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0883/2679/9661/files/MPA_RM1-5WB_blue.png?v=1722446343,1,,false,,,,lb,,active
modern-purair-rm-1-germicidal-uv-system-remote-mount,Modern PURAIR Sterile Sweep® Remote Mount - RM1 UVC Germicidal System,"<p data-mce-fragment=""1"">- Remote Mount UVC lamp unit with 12"" and 16"" sizes available<br data-mce-fragment=""1"">- Two-year warranty against lamp defects<br data-mce-fragment=""1"">- Lifetime warranty on all electric components<br data-mce-fragment=""1"">- Auto sensing ballast automatically compensates 120-277VAC 50/60Hz<br data-mce-fragment=""1"">- Suitable for up to a 10-ton AHU<br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1"">For more information, see our <span data-mce-fragment=""1""></span><a href=""https://dynamiconlineorders.ca/pages/ultraviolet-frequently-asked-questions"">UV Frequently Asked Questions</a> <span data-mce-fragment=""1""></span>page or view/download the <span data-mce-fragment=""1""></span><a href=""https://cdn.shopify.com/s/files/1/0883/2679/9661/files/UV-RM_Spec_Sheet_DYN_802.pdf?v=1722455625"">Spec Sheet</a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ASV-801_FM_Models_Spec_Sheet_0321.pdf?v=1617747960"" data-mce-fragment=""1"" data-mce-href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ASV-801_FM_Models_Spec_Sheet_0321.pdf?v=1617747960"">.</a></p>
<p><br></p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Air Purifiers,Remote Mount UV,MPA,true,Size,"12""",,,,,,,,RM1-12,0.0,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0883/2679/9661/files/RM1-16.png?v=1722435526,1,,false,,,,lb,,active
modern-purair-rm-1-germicidal-uv-system-remote-mount,,,,,,,,,"16""",,,,,,,,RM1-16,0.0,,-1,deny,manual,true,true,,,,,,,,,,,,,lb,,
modern-purair-rh2-steam-humidifier-space-unit-package,Modern PURAIR RH2+ Steam Humidifier Space Unit Package,"<p>RH2+ self-generating electrode type steam humidifier for wall-mounting inside the space with integral blower.</p>
<p>110-240VAC</p>
<p>Package includes:</p>
<p>Wall Mounted Space Humidifier, Wall Mounted Humidistat, Outdoor Mount Temperature Sensor </p>
<p>For more information, you can view/download the <a href=""https://cdn.shopify.com/s/files/1/0883/2679/9661/files/RH2_Space_Spec_Sheet_DYN.pdf?v=1722457028"">Spec Sheet</a> and <a href=""https://cdn.shopify.com/s/files/1/0883/2679/9661/files/2601564-A_RH2_Installation_and_Operation_DynamicAir.pdf?v=1722457192"">Install Manual.</a></p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,MPA,true,Title,Default Title,,,,,,,,RH2-SPACE-PKG,0.0,,0,deny,manual,true,false,,,,,,https://cdn.shopify.com/s/files/1/0883/2679/9661/files/SLAHumidSpacePackage900x900_ecf17d22-504f-42c3-88b9-df3dd6ead597.jpg?v=1722425917,1,,false,,,,lb,,active
